Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CHAA,Catcha Investment Corp. Class A Ordinary Shares,$11.65,0.12,1.041%,0.00,,2021,6124,Finance,Blank Checks
CHRO,Chromocell Therapeutics Corporation Common Stock,$1.42,0.01,0.709%,8188720.00,,2024,2855,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$2.921,0.021,0.724%,0.00,United States,,78906,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$24.65,0.55,2.282%,303534110.00,United States,1998,7772,Consumer Discretionary,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$14.0898,0.5198,3.831%,28560475.00,United States,2003,1179,Energy,Oil & Gas Production
CLDI,Calidi Biotherapeutics Inc. Common Stock,$0.30,0.045,17.647%,15277285.00,,2021,9059895,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$7.52,-0.02,-0.265%,0.00,United States,2003,813351,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$10.63,0.16,1.528%,203969216.00,Canada,,74057,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$19.05,0.01,0.053%,174205392.00,United States,1996,33912,Industrials,Plastic Products
CNDA,Concord Acquisition Corp II Class A Common Stock,$10.56,0.00,0.00%,0.00,,2021,174,Finance,Blank Checks
COE,51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares,$6.99,-0.05,-0.71%,39994473.00,China,2016,1330,Real Estate,Other Consumer Services
COHN,Cohen & Company Inc.,$10.02,-0.28,-2.718%,19306917.00,United States,,5700,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$0.2915,-0.0085,-2.833%,4626125.00,China,,366944,Health Care,Biotechnology: Pharmaceutical Preparations
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$7.56,0.01,0.132%,0.00,United States,2003,469484,Finance,Finance/Investors Services
CTGO,Contango ORE Inc. Common Stock,$24.46,0.61,2.558%,235590991.00,United States,2021,72472,Basic Materials,Precious Metals
CTM,Castellum Inc. Common Stock,$0.2166,-0.0004,-0.184%,11486280.00,,2022,52471,Consumer Discretionary,Professional Services
CVM,Cel-Sci Corporation Common Stock,$1.21,-0.06,-4.724%,65533524.00,United States,1997,219436,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$16.19,-0.11,-0.675%,15641677.00,United States,1930,732,Industrials,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$2.31,0.01,0.435%,29698688.00,United States,2022,24179,Industrials,Military/Government/Technical
CYBN,Cybin Inc. Common Shares,$0.3496,0.0001,0.029%,265588496.00,Canada,,1967483,Health Care,Biotechnology: Pharmaceutical Preparations
DC,Dakota Gold Corp. Common Stock,$3.05,0.02,0.66%,267510239.00,United States,2022,115050,Basic Materials,Metal Mining
DDC,DDC Enterprise Limited Class A Ordinary Shares,$0.73,0.0201,2.831%,14543840.00,,2023,10965,Consumer Staples,Packaged Foods
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.05,0.00,0.00%,0.00,United States,1998,156592,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$144.00,-3.71,-2.512%,90772128.00,United States,1999,374,Consumer Discretionary,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$1.22,-0.04,-3.175%,8602407.00,United States,2000,10172,Consumer Staples,Apparel
